conversation_root_id,customer_text,apple_reply_text
1764,"@AppleSupport Hello, I need some help regarding the region change on my Apple ID",@116100 This article should help with that: https://t.co/usOJWy6ChP
5845,@AppleSupport Updated iPad Pro to 11.1.  Worked on draft email. None of changes saved. Started new email. Saved but disappeared. Help please,@117107 We'll help in any way we can. Was this on an https://t.co/coj9FJKJWV email account?
8321,I️ can’t believe that @115858 &amp; @AppleSupport has not fixed the vowel text issue. It’s very annoying and takes extra time to write something👎,@117460 You're very welcome! Please feel free to reach out to us again if you need any more help. Have a great day!
11996,"#iPhone8 is great but I wasn’t aware of the strong vibration. Anywhere I sit my phone, it vibrates off of that surface &amp; now this @115858 https://t.co/DjaomnWYAW",@118359 We'd like to look at service options with you. Let's take a look at this in DM. https://t.co/GDrqU22YpT
12572,@AppleSupport is there a way to opt out of iMessage and FaceTime during initial setup on an iPhone?,"@118509 We're here for you. There isn't a way to avoid iMessage activation with a number, but you can turn it off: https://t.co/R5zxAawOzV"
26720,"@115858 the glitch problem happens with the letters O, U, and K too 🤔 https://t.co/0LsQuPwc5c",@121852 We'd like to help out. DM us and we'll go from there. https://t.co/GDrqU22YpT
29553,Since the newest update my MAC won't stay connected to my mouse &amp; kb (bluetooth). Help @AppleSupport !?!,"@122490 We know how essential Bluetooth is to using wireless devices. We'll be happy to work with you to get to the bottom of this. To confirm, you updated to macOS 10.13.1, correct? Have you tried unpairing and repairing your Bluetooth devices?"
34595,"@AppleSupport Nope, no updates so far. I’ve never checked for carrier update this frequent since I used an iPhone.",@123494 Got it. Let's go ahead and meet in DM and we'll continue this from there. https://t.co/GDrqU22YpT
34598,iMessage-Aktivierung schlägt mal wieder fehl… @1652 @AppleSupport,@123495 We offer support via Twitter in English. Contact us for help in your preferred language here: https://t.co/IBIY3vMgPj
34614,Hi @AppleSupport ! #TimeMachine still not working with #HighSierra update,@123500 Let's work together in DM to investigate what's going on with your Time Machine. https://t.co/GDrqU22YpT
36645,"@AppleSupport hi, how long is the 20 months 0% interest for iPhone x offer on for?",@123983 We'll point you in the right direction. Get with our Apple Online Store Support for purchase questions: https://t.co/8yjRd1Xo0i
38648,Either @115858 or @124423 needs to get their shit together my music keeps pausing when I get a snap notification,@124422 We can help out. Is the phone locked or unlocked when this happens? Or does it happen with both?
38861,My alarm never went off this morning and I have no idea why @AppleSupport help,@124480 We want you to be able to wake up on time. Is this the first time this happened?
40476,"This iphone update is giving me hell
PLEASE FIX THIS @115858",@124876 We want you to have a smooth experience with the update. What exactly is going on?
40527,.@115858 #iCloud isn't working on #Safari after #macOS 10.13.1 update. Is anyone facing a similar issue?,@124894 We know how important it is to be able to access your iCloud. What exactly happens when you go there? Do other websites work?
41547,@115858 You freaking suck! I just got a brand new phone under warranty because my other one was giving me issues. Now this one is giving me +,@125133 We want to be sure that you get the help you need. Please reach out here for help with your photos: https://t.co/IBIY3vMgPj
43334,"@AppleSupport No, this has not helped it is still randomly shutting down.",@125605 Send us a DM and we'll take a closer look together. https://t.co/GDrqU22YpT
44569,@AppleSupport I’ve just received this text message... is it a scam? https://t.co/iIz6799AeL,@125889 We want to look into this. DM us and we'll continue there. https://t.co/GDrqU22YpT
46584,After the new @AppleSupport update my phone loses battery power when it’s plugged in and I look at it 😤😳😡,"@126351 We're here for you. Send us a DM with your current iOS version, and we'll continue there. https://t.co/GDrqU22YpT"
50883,@127423 @AppleSupport Helllppp!!! 🤬🤬 same thing with me!! And I️ tried 11.1 update etc!,@461842 We'd like to help. DM us what country or region you're located in. https://t.co/GDrqU22YpT
52294,@AppleSupport Updated and it’s still doing the same thing,@127763 Got it. Send us a DM and we'll continue to work together on this from there. We're eager to help resolve this. https://t.co/GDrqU22YpT
53557,@AppleSupport hey what happens when I forget my restrictions passcode? turned on when my kid had it &amp; have no clue what it is. Wont reset.,@128101 Thanks for reaching out to us. Here is a helpful resource: https://t.co/eiyAtwvrU1 Let us know if you have questions.
54472,🗣HELP USSSSS @115858 https://t.co/ZWtU4qFv6C,@128336 We want to help. Tell us more about what's happening in DM. https://t.co/GDrqU22YpT
56964,‼️ STOP TURNING ON MY WI-FI ‼️@AppleSupport,"@128901 We're glad to help! Please let us know exactly what's going on, and if this addresses your issue: https://t.co/G7BHuQnDS6"
58818,@AppleSupport I️’m all up to date and my I️’s are still turning into random characters. What’s up?,"@129393 Thanks for following up with us. We have a workaround for this: https://t.co/xXaXeeSRt9 If you’re still having issues, DM us: https://t.co/GDrqU22YpT"
60317,@AppleSupport why does my lock screen when playing music freeze and not let me skip or go back or anything?,@129791 We can help! Which version of iOS are you currently running? You can check in Settings &gt; General &gt; About &gt; Version
61319,@AppleSupport my ipad pro is stuck on loading.... not opening app store ... how to fix? https://t.co/bPeadvDaIo,@130037 We want to help you out. Let's start by following the steps in this link: https://t.co/1SrHVMz478 Let us know if you still encounter issues after that.
62239,Why does my phone vibrate for no reason since I’ve updated it ?? @AppleSupport,@130254 We'd like to look into this with you. May we ask what type of iPhone you have?
63200,@AppleSupport iPhone 7 Plus,@130498 We wanted to provide this link with special attention to the ‘Use Night Shift’ section: https://t.co/it24SqZD78
63210,"@AppleSupport I just recovered my old Iphone 5 for my mother, upgrade to IOS 10.3, it works faster than my Iphone 6 with IOS 11, 🙄",@130501 We can help with your iPhone. Can you tell us more about what you're experiencing?
75202,@115858 ios 11 on ipad sucks wtf,"@132838 We want your iPad running smoothly on the new iOS 11 software. What's going on with your iPad so that we can see how we are able to assist you today, and make your iPad better?"
82035,"@115858 please fix where whenever you open an app, besides music, or get a notification the music playback stops.","@134154 We're happy to look into this with you. Which iOS version are you using on your device? Also, are you listening to music through the Music app or a different app?"
84213,I was ending the podcast when my computer shut down and now it won't boot... So that's a lost podcast... And possibly a lost computer. FML!,"@134521 We're here to help. First, let's try an SMC reset: https://t.co/FYojVXHuwn If that doesn't help, DM us more info using the following link, including the model of computer and the version of the operating system, and we'll team up to get it running again. https://t.co/GDrqU22YpT"
84218,Also shoutout to @115858 for this stupid iPhone glitch. How you gonna fuck up the letter i when it’s in the name of all your products and the operating system 🤦🏿‍♂️,@134523 We would love the opportunity to work with you today to get these issues corrected. Let's begin with finding out which iOS version you are running under Settings &gt; General &gt; About. DM us that version number here: https://t.co/GDrqU22YpT
84257,@AppleSupport is it normal for me to have to restart my Apple TV everyday to get it to work?,"@134537 The Apple TV should not have to go through a daily restart. To look into the Apple TV, let’s get you in touch with our Apple TV pros. You can reach them here:  https://t.co/IBIY3vMgPj"
87063,"Что-то statusbar уехал (

@AppleSupport, is it a bug or feature? https://t.co/CPqHI7wTUb","@135058 Hey, we'd like to learn some more information on what's going on so that we can help. Send us a DM with the exact iOS version currently installed, and we'll go from there. https://t.co/GDrqU22YpT"
87144,"Help! Is there anyone who can tell me what the problem with my 2011 @115858 #MacBook Pro is? Can this be repaired, or is this really the end..? 
#feelingdesperate #apple #macbookpro @5165 https://t.co/tR9xqvJ2Y3",@135068 We are here to help. What country are you located in? Let us know in a DM &amp; we'll continue there. https://t.co/GDrqU22YpT
90591,@AppleSupport The last upgrade really messed up my macbook. It works way too slower and spends 10%~/h charge. Is it normal?,"@135605 We're here to help! For the battery, we'd first recommend checking out this article: https://t.co/IS1pJIaZuf For the performance, how much RAM is in your computer? Which apps are open? Let us know in DM using the following link and we'll get started. https://t.co/GDrqU22YpT"
94904,@115858 @AppleSupport this happens to my lock screen once a day at least. I hope 11.2 is going to fix this. No date/time and can’t swipe Down to see notifications or control center. Only up to unlock. https://t.co/40uZKNUpKF,"@136630 Thank you for reaching out. We're certainly able to take a look into this issue with you. 

When this issue occurs, does unlocking and locking the phone back address it? Additionally, are you currently on iOS 11.1.2?"
