conversation_root_id,tweet_id,customer_text,intent,escalate_flag,notes
2493836,2493836,@115858 what to do about the EXTREME battery drainage on iPad since latest update??,battery_hardware,no,battery drain after update
955017,955017,@AppleSupport iOS 11.0.3 is crushing my battery.  What a joke you’ve become.  Never thought after 9 years I’d consider walking away from you,battery_hardware,yes,escalation: churn threat after 9 years
1242286,1242286,Moe why tf does my phone keep fucking dying????? @115858,battery_hardware,no,phone dying fast
864870,864870,Next Update improve Screen Recording abd Live Photo screenshots when I’m FaceTime because mine aren’t saving! @115858 @AppleSupport,software_bug,no,screen recording / live photo screenshots not saving in FaceTime
1539351,1539351,Every time I️ type the letter “I️” it turns into a question mark. Wtheck,software_bug,no,notorious iOS 11 'I' predictive text / question mark bug
895985,895985,"@AppleSupport hi, i purchased an iPhone via bank transfer option in 2014 at Turkey region, but now paying with credit card is only option",app_subscription,no,payment method / credit card / bank transfer options for purchase
854538,854538,@AppleSupport hey im have a ongoing problem with my podcast app can you help me out,app_subscription,no,issue with Apple Podcast app
2699111,2699111,"Was supposed to receive a call from @AppleSupport a few minutes ago, nothing...&amp; trying to connect w them from app says ""There's a problem connecting to Apple Support"". 😱",connectivity,yes,missed scheduled support call and cannot connect via app
1457393,1457393,@115858 Why can’t I type the letter “i” with iOS 11.1? I have to touch the predictive text option to avoid this from happening..?,software_bug,no,iOS 11 'I' predictive text autocorrect bug
1802435,1802435,Another glitch 5min later @115858 iOS 11? More like ‘iOS shit’s not finished ‘ https://t.co/1GKTVerUHF,software_bug,no,iOS 11 UI/system glitch
1036070,1036070,"Dear @AppleSupport , After the latest update, my battery runs out faster.  Fix this please.",battery_hardware,no,battery drain after update
1880467,1880467,Seems @115858 iOS 11.2 #Camera has a focus issue.  Just in time for my cousins wedding tonight.  Guess I won't be taking any pics.  #AppleFail #iPhoneX,software_bug,no,"camera focus issue on iOS 11.2 (could be hardware, but flagged under camera app/iOS update)"
1088730,1088730,So my iPod and iPad updatedto iOS 11.0.3 but my phone won't? Help @AppleSupport,software_bug,no,phone failing to update to iOS 11.0.3
941972,941972,@AppleSupport is it normal for the 2016 space grey MacBook paint to chip? https://t.co/6oveKciVGV,battery_hardware,no,hardware cosmetic defect - MacBook paint chipping
1764669,1764669,@115858 you better fix this tomorrow or I️ swear....of all of the letters to fuck up,software_bug,no,iOS 11 letter 'I' bug
1466085,1466085,Now my phone won't charge.....i see what y'all did @115858,battery_hardware,no,charging failure
2888806,2888806,"My phone is consistently freezing while I’m using my apps, @AppleSupport helppppp",software_bug,no,phone freezing when opening apps
872477,872477,"@115858 should fix the shuffle/repeat buttons in the Music app. Impossible to tell when it is on/off, and I’m not even colour blind.",app_subscription,no,Music app UI / shuffle/repeat buttons
1747864,1747864,"My phone just completely stopped working out of nowhere, so if ya need me message me on here.   Thanks @115858",battery_hardware,no,phone completely stopped working / dead device
1204899,1204899,Hate this new iPhone update 👺 phone crashes all the time now and touch screen sometimes doesn’t work. @AppleSupport - sort it out!,software_bug,no,crashes and touch screen not responding after update
1025553,1025553,@AppleSupport my battery dies so much faster wifh iOS 11.0.3. Can you do another update that fixes the battery issue?,battery_hardware,no,battery dies faster with iOS 11.0.3
1768875,1768875,I️ &lt;——- is really annoying. @115858 get on it please,software_bug,no,iOS 11 'I' autocorrect glitch
2466986,2466986,@AppleSupport umm I can’t make these disappear? I’ve tried deleting them and hard resetting my phone and they just come back?! https://t.co/G8j4rJfoMb,software_bug,yes,already tried deleting and hard resetting phone
