customer_text,apple_reply_text
@AppleSupport you guys need to fix that bug affecting messages! Every time I️ type the letter “I️” there’s an error! I️,@599872 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9 https://t.co/GDrqU22YpT
"@AppleSupport 2 months, IOS 11.1",@460851 Are you using the native messaging app? Does this occur with all contacts?
Why isn’t my phone letting me make any calls 🤬😣 @AppleSupport,@669003 That is definitely not expected. We'd like to assist. What kind of phone do you have and what iOS version is it running? You can check in Settings &gt; General &gt; About
@AppleSupport 11.0.3 - the latest. Thanks.,@312397 Go ahead and DM us your country to continue. https://t.co/GDrqU22YpT
Seriously @115858 can you fix the damn glitch so I can type I whenever I want &amp; not continue to use a lower case L 🤯🤯🤯🙄🙄🙄,"@125093 An update has been released to assist with this issue. If you haven’t yet, please back up your device and update it to iOS 11.1.1. For more info, check out: https://t.co/4f8hwT5to6"
@AppleSupport @ I am a I phone 6 owner I install all recommended updates when prompted on my phone however this hasn’t resolved the problem with the battery in the phone and the phone shuts down whilst showing I still have charge Please help me?,"@266452 We'd like to see how we can help with your iPhone. Send us a DM with the iOS version it's currently running, and we'll continue from there. https://t.co/GDrqU22YpT"
.@AppleSupport how long does this normally take? Said it now for 24 hours? Recently changed phones too https://t.co/xHGgymVy6A,@592753 Thanks for reaching out. Many factors can affect download speed. You will see the time jump a few times. DM us to explore this: https://t.co/GDrqU22YpT
Watching my battery % drop... Jesus @115858. The battery issues since day ONE of iOS 11 are getting really tiresome... @123857 @116333,@602046 We know how important it is to have a reliable working battery. Meet us in DM and we can look into some options together. https://t.co/GDrqU22YpT
@applesupport 11.0.3 iPhone SE + 11.0.3. Upgraded and bluetooth no longer connects. 3 phones and 3 different BTs.  Can't revert to 10.3.,@326133 Let's sort this out together. What type of Bluetooth devices are you attempting to connect to? Are all phones the same model?
@115858 why tf is there a question mark? Fix it https://t.co/TVbcmM8tLc,@500714 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9
"Where my WhatsApp notifications at, @115858? 🙇🏻‍♀️#iOS11  
@AppleSupport",@352656 Let's take a closer look at this issue together. DM us your current iOS version to get started. https://t.co/GDrqU22YpT
"I updated earlier today and still was seein the boxes 🙃
WHAT THE FUCK @AppleSupport? 🤔 https://t.co/UD67JQclla",@482957 This article can help with that: https://t.co/xU1AGHStV6
I am going to have to migrate from @115858’s calendar as it has deleted a week of activities that I know of and won’t let me re-add anything to that week.,"@803442 We'd be happy to help. Which device are you experiencing this issue with? Also, which software version is it running?"
"@115858 @115948 @AppleSupport My Apple Music isn’t working, it’s as if I have not subscribed. I already currently have a subscription.","@417605 We've received your DM, and we'll continue with you there. Be on the lookout for a reply."
Don’t even get me started on how long I’ve been waiting for the Florence + the Machine download @AppleSupport,@360573 We'd like to help you out. DM us some more details and we can get started. https://t.co/GDrqU22YpT
Anyway DM me if you’re in any way interested in making this right because this is ridiculous. @115858 @AppleSupport,@814285 We understand how this would be unexpected. We'd like to take a closer look with you. Please send us a DM including where the scratches are located on the screen. https://t.co/GDrqU22YpT
@AppleSupport Ok thanks! Appreciate!,@659907 You're very welcome. We hope you have a good day today. Please reach out anytime.
"Thanks @AppleSupport for deleting all my Apple Music songs when I updated iOS, you’re literally the worst",@409171 That's not the experience we want you to have with iOS 11. Send us a DM and we'll get started. https://t.co/GDrqU22YpT
@AppleSupport can y’all fix the letter I on iPhones already? Please?,@727912 Hi there. iOS 11.1.1 was recently released and it includes a fix for autocorrect issues. Follow the steps here to back up and update your device:  https://t.co/80YRnjDFDk Let us know if this helps.
@115858 your most recent update is messing with my music app and I’m not satisfied. 🤷🏽‍♂️,"@285843 We're here for you. What issues are you noting with Music? Let us know what is going on, along with the version of iOS you're on. The latest is 11.1.2."
I️ 👈🏽🧐 @115858 explain wtf that is,@504016 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9
"iPhone stuck in #HeadPhone mode @appleSupport , any no of switch off &amp; on isnt helping me to remove that mode &amp; phone has gone mute.Pls help",@539407 It's important for your iPhone to work as expected. We'd like to help! Let us know in DM which country you're located in. https://t.co/GDrqU22YpT
@AppleSupport my phone has gone to shit since the latest iOS 11 update. Nothing working properly.,@615831 We're here to help. Select the following link to join us in a DM and describe the issues you're having to get started. https://t.co/GDrqU22YpT
@AppleSupport and that is in spite of the fetch being set to automatic AND being on wifi at the moment.,"@166035 Got it. Are you currently using Low Power Mode? Have you restarted your iPhone, and the Mail app since this began?"
@AppleSupport I️,@510348 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9
@AppleSupport You guys have already messaged me in a DM about this and had me do this. It didn’t work. Literally 3 times you’ve recommended this.,"@127769 It's important to have the latest software installed. If you'd like to continue together, please DM us &amp; we'll pick back up there. https://t.co/GDrqU22YpT"
