tweet_id,author_id,inbound,created_at,text,response_tweet_id,in_response_to_tweet_id,conversation_root_id
1002288,357258,True,Sun Oct 22 10:47:13 +0000 2017,@AppleSupport Dear iphone. I would like to help my old friend. She lost her phone but when she found it. The phone was locked. Any help?,1002287,,1002288
1002287,AppleSupport,False,Sun Oct 22 14:49:28 +0000 2017,@357258 We'd be happy to help.  Is the iPhone locked with an unknown passcode?  Or locked with an iCloud email account that isn't hers?,,1002288,1002288
1002746,357354,True,Sat Oct 14 05:26:32 +0000 2017,Who else facing #Notifications #Problem @4305 for #iPhone #iOS @AppleSupport New Things won’t show up until you open the #App #Whatsapp,1002744,,1002746
1002744,AppleSupport,False,Sat Oct 14 12:56:00 +0000 2017,"@357354 We're here to help out. Any recent changes to the device? First, check the notification settings: https://t.co/2txgOv5s2M",1002745,1002746,1002746
1002745,357354,True,Sat Oct 14 17:06:34 +0000 2017,@AppleSupport Nothing changed in the device... many of them are facing the issue,1002747,1002744,1002746
1002747,AppleSupport,False,Sat Oct 14 17:56:27 +0000 2017,@357354 We'd like to take a further look at this issue with you. Please meet us in DM. https://t.co/GDrqU22YpT,,1002745,1002746
1003864,357601,True,Sat Oct 14 06:02:12 +0000 2017,@AppleSupport @115858 battery came down to 9% from 71% in just a span of 25 mins. Plz fix this bug #ios1103 #pathetic,1003862,,1003864
1003862,AppleSupport,False,Sat Oct 14 13:07:33 +0000 2017,@357601 We know how important battery life is. Let's look into this together. Can you provide us which device you're using?,1003863,1003864,1003864
1003863,357601,True,Sat Oct 14 13:08:00 +0000 2017,@AppleSupport Iphone 6s,1003865,1003862,1003864
1003865,AppleSupport,False,Sat Oct 14 14:56:56 +0000 2017,@357601 Thanks for providing that. We know how vital the battery is. Please check out this article: https://t.co/TpjqFp3jxD,,1003863,1003864
1007094,358317,True,Sun Oct 22 17:37:06 +0000 2017,@AppleSupport my battery dies so much faster wifh iOS 11.0.3. Can you do another update that fixes the battery issue?,1007093,,1007094
1007093,AppleSupport,False,Sun Oct 22 18:22:30 +0000 2017,"@358317 Thanks for reaching out. We know how important battery life is, and we'd be happy to help. When did you update your iOS?",1007092,1007094,1007094
1007092,358317,True,Sun Oct 22 19:05:30 +0000 2017,@AppleSupport I updated it with the last update so whenever iOS 11.0.3 came out my battery life has been horrific,1007091,1007093,1007094
1007091,AppleSupport,False,Sun Oct 22 19:56:37 +0000 2017,"@358317 Thanks for letting us know. Please send us a DM, and we'll investigate further. https://t.co/GDrqU22YpT",,1007092,1007094
1007575,358428,True,Sat Oct 14 09:42:56 +0000 2017,@115858 I am experiencing sluggish loading of facebook quite a number of times. Unable to run @188.Help needed.,1007573,,1007575
1007573,AppleSupport,False,Sat Oct 14 13:59:00 +0000 2017,"@358428 Sure, we can help. Which device and iOS version are you using? Is this the only app experiencing sluggish performance?",1007574,1007575,1007575
1007574,358428,True,Sun Oct 15 01:02:11 +0000 2017,"@AppleSupport I am using iphone 6s plus and ios 11.0.3.
Yes, this is the only app,facing issues.",1007576,1007573,1007575
