apple_tweet_id,customer_tweet_id,customer_text,apple_reply_text,created_at
2713250,2713251,"@717676 Creo que las baterías son el gran problema de @115858 Tenemos un 6 que necesita cambiarla y un 6s q está empezando a dar muestras de flaqueza. Sistema operativo inmejorable, pero sin batería no funciona el teléfono.",@761707 We offer support via Twitter in English. Get help in Spanish here: https://t.co/IBIY3vMgPj or join https://t.co/OczyRx7IOs,Mon Nov 20 03:22:09 +0000 2017
1932605,1932602,@AppleSupport It’s something to do with the Activity App.,@265100 Let's meet up in DM and discuss this further. You can reach us at the link below. https://t.co/GDrqU22YpT,Sun Oct 29 20:46:57 +0000 2017
2728153,2728151,@AppleSupport Thank you. That's great. Is there anyway to check that the back up is still there? As whoever took my phone gained access to my email acct and removed my device from find my iPhone before I could erase my device. Or will the backup be safe?,"@209478 That backup will be saved in iCloud for 180 days from the last time it was updated. To look for that backup, you can follow the instructions here: https://t.co/vU7gSUiOfd",Mon Nov 20 16:24:49 +0000 2017
1863532,1863533,why does my phone insist on dying when the battery is @ 29% @115858 y'all truly got me fucked up,@556802 That's not normal. Could you Direct Message us and let us know what country you're in? We'll help out. https://t.co/GDrqU22YpT,Fri Oct 20 05:53:02 +0000 2017
1629793,1629794,@65298 @AppleSupport Hahaha help me!,@498856 We'd be happy to see how we can help. What's going on?,Sun Nov 05 04:41:37 +0000 2017
63201,63199,@AppleSupport iOS 11.1,@130498 Thanks! Which iOS device are you using?,Wed Nov 01 21:50:36 +0000 2017
1534979,1534977,@AppleSupport Succeeded at 4.75 hour mark.,@476000 We're glad you were able to get your device activated. Reach out to us if you run into anymore issues.,Sat Nov 04 22:25:35 +0000 2017
1417397,1417398,H E L P @AppleSupport https://t.co/YdiRqptXcr,"@449449 We know how important it is for your keyboard to work perfectly. DM us, and we can help. https://t.co/GDrqU22YpT",Thu Nov 02 02:47:14 +0000 2017
1536222,1536223,@115858 the updates you sabotaged my phone with during the release of the 8&amp;X are above and beyond this time. My phone blows now🙌🏻 please fix,@476327 Let's look into that. Send us a DM and we'll go from there. https://t.co/GDrqU22YpT,Fri Nov 03 20:32:33 +0000 2017
1616713,1616714,@AppleSupport. y’all gone fix these question marks or what?,@495777 We've seen the issue you're talking about and we have a workaround for it: https://t.co/xXaXeeSRt9 Did that help?,Sun Nov 05 02:49:03 +0000 2017
